Date,Adj Close
11/05/2022,113.602501
12/05/2022,112.844002
13/05/2022,116.050499
16/05/2022,114.445
17/05/2022,116.473
18/05/2022,111.899498
19/05/2022,110.384003
20/05/2022,108.907997
23/05/2022,111.487999
24/05/2022,105.970001
25/05/2022,105.805
26/05/2022,107.792503
27/05/2022,112.316498
31/05/2022,113.762001
01/06/2022,113.891998
02/06/2022,117.622498
03/06/2022,114.541
06/06/2022,116.820503
07/06/2022,117.149498
08/06/2022,117.194
09/06/2022,114.835503
10/06/2022,111.161499
13/06/2022,106.392502
14/06/2022,106.7155
15/06/2022,109.764503
16/06/2022,106.033501
17/06/2022,107.143501
21/06/2022,111.543999
22/06/2022,111.487503
23/06/2022,112.241997
24/06/2022,117.974998
27/06/2022,115.833504
28/06/2022,112.0075
29/06/2022,111.7015
30/06/2022,108.962997
01/07/2022,108.737503
05/07/2022,113.263
06/07/2022,114.571999
07/07/2022,118.782997
08/07/2022,119.3535
11/07/2022,115.676498
12/07/2022,114.0205
13/07/2022,111.3535
14/07/2022,110.3675
15/07/2022,111.777496
18/07/2022,109.029999
19/07/2022,113.809998
20/07/2022,113.900002
21/07/2022,114.339996
22/07/2022,107.900002
25/07/2022,107.510002
26/07/2022,105.019997
27/07/2022,113.059998
28/07/2022,114.220001
29/07/2022,116.32
01/08/2022,114.860001
02/08/2022,115.129997
03/08/2022,118.080002
04/08/2022,118.190002
05/08/2022,117.470001
08/08/2022,117.300003
09/08/2022,116.629997
10/08/2022,119.699997
11/08/2022,118.839996
12/08/2022,121.68
15/08/2022,122.080002
16/08/2022,121.699997
17/08/2022,119.550003
18/08/2022,120.169998
19/08/2022,117.209999
22/08/2022,114.239998
23/08/2022,113.860001
24/08/2022,113.690002
25/08/2022,116.650002
26/08/2022,110.339996
29/08/2022,109.419998
30/08/2022,108.940002
31/08/2022,108.220001
01/09/2022,109.739998
02/09/2022,107.849998
06/09/2022,106.809998
07/09/2022,109.449997
08/09/2022,108.379997
09/09/2022,110.650002
12/09/2022,110.860001
13/09/2022,104.32
14/09/2022,105
15/09/2022,102.910004
16/09/2022,102.800003
19/09/2022,103.07
20/09/2022,101.139999
21/09/2022,99.279999
22/09/2022,100.139999
23/09/2022,98.739998
26/09/2022,98.169998
27/09/2022,97.5
28/09/2022,100.050003
29/09/2022,97.419998
30/09/2022,95.650002
03/10/2022,98.639999
04/10/2022,101.639999
05/10/2022,101.43
06/10/2022,101.419998
07/10/2022,98.68
10/10/2022,97.860001
11/10/2022,97.18
12/10/2022,97.559998
13/10/2022,99.059998
14/10/2022,96.559998
17/10/2022,99.970001
18/10/2022,100.769997
19/10/2022,99.629997
20/10/2022,99.970001
21/10/2022,101.129997
24/10/2022,102.519997
25/10/2022,104.480003
26/10/2022,94.93
27/10/2022,92.220001
28/10/2022,96.290001
31/10/2022,94.510002
01/11/2022,90.470001
02/11/2022,86.970001
03/11/2022,83.43
04/11/2022,86.580002
07/11/2022,88.489998
08/11/2022,88.900002
09/11/2022,87.32
10/11/2022,93.940002
11/11/2022,96.410004
14/11/2022,95.699997
15/11/2022,98.440002
16/11/2022,98.849998
17/11/2022,98.360001
18/11/2022,97.43
21/11/2022,95.599998
22/11/2022,97.050003
23/11/2022,98.459999
25/11/2022,97.459999
28/11/2022,96.050003
29/11/2022,95.190002
30/11/2022,100.989998
01/12/2022,100.989998
02/12/2022,100.440002
05/12/2022,99.480003
06/12/2022,96.980003
07/12/2022,94.940002
08/12/2022,93.709999
09/12/2022,92.830002
12/12/2022,93.309998
13/12/2022,95.629997
14/12/2022,95.07
15/12/2022,90.860001
16/12/2022,90.260002
19/12/2022,88.440002
20/12/2022,89.019997
21/12/2022,89.580002
22/12/2022,87.760002
23/12/2022,89.230003
27/12/2022,87.389999
28/12/2022,86.019997
29/12/2022,88.449997
